"No.","Time","Source","Destination","Protocol","Length","Sender IP address","Info"
"227","1.039825","10.1.2.7","10.1.1.2","TCP","94","","14  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1119 TSecr=0 WS=4 SACK_PERM"
"233","1.041199","10.1.2.11","10.1.1.2","TCP","94","","18  >  49162 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1123 TSecr=0 WS=4 SACK_PERM"
"240","1.041928","10.1.2.13","10.1.1.2","TCP","94","","20  >  49164 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1123 TSecr=0 WS=4 SACK_PERM"
"244","1.043428","10.1.2.15","10.1.1.2","TCP","94","","22  >  49166 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1123 TSecr=0 WS=4 SACK_PERM"
"246","1.044916","10.1.2.9","10.1.1.2","TCP","94","","16  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1122 TSecr=0 WS=4 SACK_PERM"
"250","1.045208","10.1.2.17","10.1.1.2","TCP","94","","24  >  49168 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1127 TSecr=0 WS=4 SACK_PERM"
"254","1.045496","10.1.2.19","10.1.1.2","TCP","94","","26  >  49170 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1127 TSecr=0 WS=4 SACK_PERM"
"269","1.058730","10.1.2.21","10.1.1.2","TCP","94","","28  >  49172 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1127 TSecr=0 WS=4 SACK_PERM"
"288","1.119383","10.1.2.21","10.1.1.2","TCP","90","","49153  >  59 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1201 TSecr=1101"
"292","1.122414","10.1.2.13","10.1.1.2","TCP","90","","49153  >  51 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1204 TSecr=1104"
"296","1.123916","10.1.2.17","10.1.1.2","TCP","90","","49153  >  55 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1205 TSecr=1105"
"300","1.125054","10.1.2.11","10.1.1.2","TCP","90","","49153  >  49 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1207 TSecr=1107"
"305","1.126807","10.1.2.3","10.1.1.2","TCP","90","","49153  >  41 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1208 TSecr=1107"
"309","1.127509","10.1.2.5","10.1.1.2","TCP","90","","49153  >  43 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1209 TSecr=1109"
"313","1.128672","10.1.2.7","10.1.1.2","TCP","90","","49153  >  45 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1210 TSecr=1110"
"317","1.129956","10.1.2.9","10.1.1.2","TCP","90","","49153  >  47 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1211 TSecr=1111"
"321","1.131171","10.1.2.19","10.1.1.2","TCP","90","","49153  >  57 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1213 TSecr=1113"
"325","1.132289","10.1.2.15","10.1.1.2","TCP","90","","49153  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1214 TSecr=1114"
"631","1.439739","10.1.2.3","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 10  >  49154 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1521 TSecr=1219"
"663","1.445622","10.1.2.5","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 12  >  49156 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1527 TSecr=1219"
"665","1.450054","10.1.2.7","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 14  >  49158 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1532 TSecr=1222"
"670","1.450501","10.1.2.5","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 12  >  49156 [ACK] Seq=1 Ack=6433 Win=131072 Len=0 TSval=1532 TSecr=1432"
"698","1.452982","10.1.2.11","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 18  >  49162 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1535 TSecr=1223"
"703","1.456005","10.1.2.7","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 14  >  49158 [ACK] Seq=1 Ack=6433 Win=131072 Len=0 TSval=1538 TSecr=1437"
"731","1.459623","10.1.2.13","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 20  >  49164 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1541 TSecr=1224"
"822","1.471175","10.1.2.9","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 16  >  49160 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1553 TSecr=1227"
"824","1.475549","10.1.2.17","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 24  >  49168 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1557 TSecr=1227"
"826","1.478168","10.1.2.19","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 26  >  49170 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1560 TSecr=1227"
"831","1.479607","10.1.2.9","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 16  >  49160 [ACK] Seq=1 Ack=6433 Win=131072 Len=0 TSval=1561 TSecr=1461"
"918","1.485945","10.1.2.21","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 28  >  49172 [ACK] Seq=1 Ack=5361 Win=131072 Len=0 TSval=1568 TSecr=1240"
"923","1.488153","10.1.2.21","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 28  >  49172 [ACK] Seq=1 Ack=6433 Win=131072 Len=0 TSval=1570 TSecr=1469"
"957","1.640238","10.1.2.3","10.1.1.2","TCP","90","","10  >  49154 [ACK] Seq=1 Ack=16081 Win=131072 Len=0 TSval=1722 TSecr=1621"
"962","1.645430","10.1.2.3","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 10  >  49154 [ACK] Seq=1 Ack=17153 Win=131072 Len=0 TSval=1727 TSecr=1627"
"1002","1.648719","10.1.2.5","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 12  >  49156 [ACK] Seq=1 Ack=16081 Win=131072 Len=0 TSval=1730 TSecr=1627"
"1026","1.650641","10.1.2.7","10.1.1.2","TCP","90","","14  >  49158 [ACK] Seq=1 Ack=16081 Win=131072 Len=0 TSval=1732 TSecr=1632"
"1090","1.656194","10.1.2.11","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 18  >  49162 [ACK] Seq=1 Ack=16081 Win=131072 Len=0 TSval=1738 TSecr=1635"
"1154","1.661666","10.1.2.13","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 20  >  49164 [ACK] Seq=1 Ack=16081 Win=131072 Len=0 TSval=1743 TSecr=1641"
"2069","1.882895","10.1.2.11","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 18  >  49162 [ACK] Seq=1 Ack=38593 Win=131072 Len=0 TSval=1964 TSecr=1864"
"2183","1.898479","10.1.2.13","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 20  >  49164 [ACK] Seq=1 Ack=38593 Win=131072 Len=0 TSval=1980 TSecr=1880"
"2329","1.923381","10.1.2.9","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 16  >  49160 [ACK] Seq=1 Ack=36449 Win=131072 Len=0 TSval=2005 TSecr=1905"
"2956","2.030528","10.1.2.2","10.1.1.2","TCP","94","","9  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2108 TSecr=0 WS=4 SACK_PERM"
"2959","2.030895","10.1.2.18","10.1.1.2","TCP","94","","25  >  49169 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2111 TSecr=0 WS=4 SACK_PERM"
"2966","2.033445","10.1.2.18","10.1.1.2","TCP","94","","[TCP Retransmission] 25  >  49169 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2111 TSecr=0 WS=4 SACK_PERM"
"2981","2.038974","10.1.2.16","10.1.1.2","TCP","94","","23  >  49167 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2110 TSecr=0 WS=4 SACK_PERM"
"2983","2.039558","10.1.2.16","10.1.1.2","TCP","94","","[TCP Retransmission] 23  >  49167 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2110 TSecr=0 WS=4 SACK_PERM"
"3000","2.042870","10.1.2.18","10.1.1.2","TCP","94","","[TCP Retransmission] 25  >  49169 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2111 TSecr=0 WS=4 SACK_PERM"
"3066","2.070911","10.1.2.3","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 10  >  49154 [ACK] Seq=1 Ack=85761 Win=131072 Len=0 TSval=2153 TSecr=2052"
"4159","2.155587","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2221 TSecr=1101"
"4161","2.155962","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"4163","2.159944","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2232 TSecr=1111"
"4165","2.160143","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2233 TSecr=1113"
"4167","2.160224","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2229 TSecr=1107"
"4168","2.160585","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2226 TSecr=1105"
"4170","2.161021","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2230 TSecr=1109 [TCP segment of a reassembled PDU]"
"4172","2.161120","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2229 TSecr=1107"
"4174","2.161623","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2242 TSecr=1101"
"4176","2.161983","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=1 Ack=1 Win=131072 Len=512 TSval=2231 TSecr=1110"
"4203","2.173359","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2254 TSecr=1113"
"4207","2.173728","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2252 TSecr=1111"
"4209","2.173827","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2249 TSecr=1107"
"4210","2.174156","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2249 TSecr=1107"
"4212","2.175021","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"4255","2.176353","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2250 TSecr=1109 [TCP segment of a reassembled PDU]"
"4257","2.176672","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2249 TSecr=1107"
"4258","2.177389","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2251 TSecr=1110"
"4261","2.178086","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2249 TSecr=1107"
"4263","2.179147","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=513 Ack=1 Win=131072 Len=512 TSval=2246 TSecr=1105"
"4268","2.180858","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2262 TSecr=1101"
"4278","2.191489","10.1.2.13","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  51 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2265 TSecr=1104"
"4280","2.191570","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2270 TSecr=1107"
"4282","2.191933","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2272 TSecr=1110"
"4296","2.195961","10.1.2.11","10.1.1.2","TACACS+","602","","[TCP Previous segment not captured] Q: Unknown (0x00)"
"4298","2.196767","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2270 TSecr=1109 [TCP segment of a reassembled PDU]"
"4300","2.197151","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"4302","2.197435","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2274 TSecr=1113"
"4304","2.197760","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2267 TSecr=1105"
"4306","2.198015","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=1025 Ack=1 Win=131072 Len=512 TSval=2273 TSecr=1111"
"4322","2.201338","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2283 TSecr=1101"
"4390","2.206920","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2287 TSecr=1105"
"4392","2.207199","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2286 TSecr=1104"
"4548","2.216000","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"4550","2.216256","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2291 TSecr=1109 [TCP segment of a reassembled PDU]"
"4552","2.216395","10.1.2.9","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 16  >  49160 [ACK] Seq=1 Ack=144721 Win=131072 Len=0 TSval=2294 TSecr=2111"
"4554","2.216603","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2295 TSecr=1113"
"4556","2.216684","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2290 TSecr=1107"
"4558","2.217121","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=1537 Ack=1 Win=131072 Len=512 TSval=2292 TSecr=1110"
"4560","2.217338","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"4701","2.226359","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2308 TSecr=1105"
"4801","2.232252","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2311 TSecr=1109 [TCP segment of a reassembled PDU]"
"4803","2.232489","10.1.2.9","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  47 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2314 TSecr=1111"
"4830","2.234700","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2306 TSecr=1104"
"4832","2.234919","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2313 TSecr=1110"
"4834","2.235118","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"4836","2.235199","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=2049 Ack=1 Win=131072 Len=512 TSval=2311 TSecr=1107"
"5048","2.248385","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"5050","2.248605","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2327 TSecr=1104"
"5052","2.248883","10.1.2.21","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  59 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2324 TSecr=1101"
"5119","2.249987","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"5121","2.250068","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2331 TSecr=1107"
"5122","2.250384","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2332 TSecr=1109 [TCP segment of a reassembled PDU]"
"5126","2.250839","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2328 TSecr=1105"
"5154","2.254544","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2331 TSecr=1107"
"5155","2.254899","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2334 TSecr=1111"
"5157","2.255127","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2333 TSecr=1110"
"5186","2.261271","10.1.2.19","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  57 [ACK] Seq=2561 Ack=1 Win=131072 Len=512 TSval=2336 TSecr=1113"
"5286","2.268807","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2349 TSecr=1105"
"5288","2.269067","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2344 TSecr=1101"
"5290","2.269274","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2347 TSecr=1104"
"5357","2.274600","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2355 TSecr=1111"
"5359","2.274837","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2354 TSecr=1110"
"5364","2.275790","10.1.2.15","10.1.1.2","DNS","602","","[TCP Previous segment not captured] [Malformed Packet]"
"5366","2.281450","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2356 TSecr=1113"
"5370","2.281790","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"5372","2.281997","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=3073 Ack=1 Win=131072 Len=512 TSval=2352 TSecr=1109 [TCP segment of a reassembled PDU]"
"5409","2.289009","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2368 TSecr=1104"
"5411","2.289225","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2369 TSecr=1105"
"5413","2.289512","10.1.2.21","10.1.1.2","TCP","602","","49153  >  59 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2365 TSecr=1101"
"5415","2.289711","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"5482","2.295717","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2373 TSecr=1109 [TCP segment of a reassembled PDU]"
"5517","2.297451","10.1.2.3","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  41 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2372 TSecr=1107"
"5584","2.303095","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"5586","2.303336","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2374 TSecr=1110"
"5651","2.307215","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2388 TSecr=1104"
"5678","2.309438","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2375 TSecr=1111"
"5680","2.309646","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"5682","2.309854","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2390 TSecr=1105"
"5684","2.310712","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=3585 Ack=1 Win=131072 Len=512 TSval=2377 TSecr=1113"
"5701","2.311600","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2393 TSecr=1107"
"5718","2.312584","10.1.2.5","10.1.1.2","TCP","602","","49153  >  43 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2393 TSecr=1109 [TCP segment of a reassembled PDU]"
"5723","2.315471","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2397 TSecr=1113"
"5724","2.315684","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2395 TSecr=1110"
"5727","2.316150","10.1.2.19","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  57 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2397 TSecr=1113"
"5729","2.316477","10.1.2.9","10.1.1.2","TCP","602","","49153  >  47 [ACK] Seq=4097 Ack=1 Win=131072 Len=512 TSval=2396 TSecr=1111"
"5733","2.318209","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"5751","2.324720","10.1.2.21","10.1.1.2","TCP","602","","[TCP Previous segment not captured] 49153  >  59 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2406 TSecr=1101"
"5763","2.335373","10.1.2.11","10.1.1.2","TACACS+","602","","Q: Unknown (0x00)"
"5765","2.335454","10.1.2.3","10.1.1.2","TCP","602","","49153  >  41 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2413 TSecr=1107"
"5766","2.335756","10.1.2.17","10.1.1.2","TCP","602","","49153  >  55 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2410 TSecr=1105"
"5768","2.336174","10.1.2.13","10.1.1.2","TCP","602","","49153  >  51 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2409 TSecr=1104"
"5770","2.336373","10.1.2.8","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 15  >  49159 [ACK] Seq=1 Ack=537 Win=32768 Len=0 TSval=2400 TSecr=2216"
"5772","2.336594","10.1.2.19","10.1.1.2","TCP","602","","49153  >  57 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2418 TSecr=1113"
"5774","2.336828","10.1.2.5","10.1.1.2","WHOIS","602","","Query: "
"5776","2.337276","10.1.2.3","10.1.1.2","TCP","602","","[TCP Retransmission] 49153  >  41 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2413 TSecr=1107"
"5778","2.337619","10.1.2.8","10.1.1.2","TCP","90","","[TCP Dup ACK 5770#1] 15  >  49159 [ACK] Seq=1 Ack=537 Win=32768 Len=0 TSval=2400 TSecr=2216"
"5780","2.337998","10.1.2.15","10.1.1.2","DNS","602","","[Malformed Packet]"
"5783","2.338476","10.1.2.8","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 15  >  49159 [ACK] Seq=1 Ack=2681 Win=32768 Len=0 TSval=2402 TSecr=2216"
"5811","2.345878","10.1.2.7","10.1.1.2","TCP","602","","49153  >  45 [ACK] Seq=4609 Ack=1 Win=131072 Len=512 TSval=2415 TSecr=1110"
"5882","2.365673","10.1.2.16","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 23  >  49167 [ACK] Seq=1 Ack=4825 Win=131072 Len=0 TSval=2447 TSecr=2221"
"6140","2.401762","10.1.2.12","10.1.1.2","TCP","90","","[TCP ACKed unseen segment] 19  >  49163 [ACK] Seq=1 Ack=5361 Win=32768 Len=0 TSval=2483 TSecr=2104"
"6142","2.402032","10.1.2.12","10.1.1.2","TCP","90","","[TCP Dup ACK 6140#1] 19  >  49163 [ACK] Seq=1 Ack=5361 Win=32768 Len=0 TSval=2483 TSecr=2104"
