"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Info"
"23","0.959960094","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-86 dBm,-86 dBm,-92 dBm","12","""MOBILE-S""","-92 dBm","Beacon frame, SN=3829, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"24","0.960420430","AristaNetwor_78:bd:b2","Broadcast","802.11","436","-86 dBm,-86 dBm,-93 dBm","6","""GUEST-N""","-93 dBm","Beacon frame, SN=2282, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"25","1.061985652","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-86 dBm,-86 dBm,-92 dBm","12","""LAPTOP-S""","-92 dBm","Beacon frame, SN=2528, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"26","1.062306115","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-85 dBm,-85 dBm,-92 dBm","12","""MOBILE-S""","-92 dBm","Beacon frame, SN=3830, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"27","1.062817865","AristaNetwor_78:bd:b2","Broadcast","802.11","436","-86 dBm,-86 dBm,-92 dBm","6","""GUEST-N""","-92 dBm","Beacon frame, SN=2283, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"28","4.096638592","AristaNetwor_c5:53:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-90 dBm","12","""LAPTOP-S""","-90 dBm","Beacon frame, SN=812, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"29","4.096902161","AristaNetwor_c5:53:62","Broadcast","802.11","436","-85 dBm,-85 dBm,-90 dBm","6","""GUEST-N""","-90 dBm","Beacon frame, SN=3712, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"30","4.101982003","AristaNetwor_c5:4d:60","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=1291, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"31","4.102007583","AristaNetwor_c5:4d:61","Broadcast","802.11","437","-87 dBm,-87 dBm,-90 dBm","12","""MOBILE-S""","-90 dBm","Beacon frame, SN=2538, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"32","4.102784622","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-87 dBm,-87 dBm,-90 dBm","6","""GUEST-N""","-90 dBm","Beacon frame, SN=2785, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"33","4.199668406","AristaNetwor_c5:53:60","Broadcast","802.11","437","-86 dBm,-86 dBm,-88 dBm","12","""LAPTOP-S""","-88 dBm","Beacon frame, SN=813, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"34","4.199690598","AristaNetwor_c5:53:61","Broadcast","802.11","437","-86 dBm,-86 dBm,-90 dBm","12","""MOBILE-S""","-90 dBm","Beacon frame, SN=3663, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"35","4.199926163","AristaNetwor_c5:53:62","Broadcast","802.11","436","-86 dBm,-86 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=3713, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"36","4.204640928","AristaNetwor_c5:4d:60","Broadcast","802.11","437","-87 dBm,-87 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=1292, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"37","4.204862074","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-87 dBm,-87 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=2786, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"38","4.345965744","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-51 dBm,-52 dBm,-51 dBm","1","""badabing""","-51 dBm","Beacon frame, SN=2344, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"39","4.373977191","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-82 dBm","12","""LAPTOP-S""","-82 dBm","Beacon frame, SN=2263, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"40","4.374252923","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-82 dBm","12","""MOBILE-S""","-82 dBm","Beacon frame, SN=3133, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"41","4.374801183","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-82 dBm","6","""GUEST-N""","-82 dBm","Beacon frame, SN=811, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"42","4.402673669","42:40:0c:27:31:b0","Broadcast","802.11","260","-90 dBm,-91 dBm,-90 dBm","1","""MKR-new""","-90 dBm","Beacon frame, SN=1341, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"43","4.448361885","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-50 dBm,-50 dBm,-51 dBm","1","""badabing""","-51 dBm","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"44","4.476365042","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""LAPTOP-S""","-81 dBm","Beacon frame, SN=2264, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"45","4.476656101","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-81 dBm","12","""MOBILE-S""","-81 dBm","Beacon frame, SN=3134, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"46","4.477205406","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-81 dBm","6","""GUEST-N""","-81 dBm","Beacon frame, SN=812, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"47","4.505218185","42:40:0c:27:31:b0","Broadcast","802.11","260","-87 dBm,-87 dBm,-90 dBm","1","""MKR-new""","-90 dBm","Beacon frame, SN=1342, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"48","5.158209275","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-86 dBm,-86 dBm,-92 dBm","12","""LAPTOP-S""","-92 dBm","Beacon frame, SN=2568, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"49","5.158493580","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-87 dBm,-87 dBm,-91 dBm","12","""MOBILE-S""","-91 dBm","Beacon frame, SN=3870, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"50","5.159036103","AristaNetwor_78:bd:b2","Broadcast","802.11","436","-87 dBm,-87 dBm,-91 dBm","6","""GUEST-N""","-91 dBm","Beacon frame, SN=2323, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"51","8.089828731","AristaNetwor_c5:53:60","Broadcast","802.11","437","-84 dBm,-84 dBm,-87 dBm","12","""LAPTOP-S""","-87 dBm","Beacon frame, SN=851, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"52","8.090067998","AristaNetwor_c5:53:61","Broadcast","802.11","437","-85 dBm,-85 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3701, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"53","8.090623466","AristaNetwor_c5:53:62","Broadcast","802.11","436","-85 dBm,-85 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=3751, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"54","8.095419933","AristaNetwor_c5:4d:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=1330, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"55","8.095690802","AristaNetwor_c5:4d:61","Broadcast","802.11","437","-87 dBm,-87 dBm,-89 dBm","12","""MOBILE-S""","-89 dBm","Beacon frame, SN=2577, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"56","8.096224033","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-86 dBm,-86 dBm,-90 dBm","6","""GUEST-N""","-90 dBm","Beacon frame, SN=2824, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"57","8.192221703","AristaNetwor_c5:53:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=852, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"58","8.192498746","AristaNetwor_c5:53:61","Broadcast","802.11","437","-86 dBm,-86 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3702, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"59","8.193012212","AristaNetwor_c5:53:62","Broadcast","802.11","436","-85 dBm,-85 dBm,-88 dBm","6","""GUEST-N""","-88 dBm","Beacon frame, SN=3752, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"60","8.197811748","AristaNetwor_c5:4d:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=1331, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"61","8.198222515","AristaNetwor_c5:4d:61","Broadcast","802.11","437","-86 dBm,-86 dBm,-89 dBm","12","""MOBILE-S""","-89 dBm","Beacon frame, SN=2578, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"62","8.198659745","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-86 dBm,-86 dBm,-89 dBm","6","""GUEST-N""","-89 dBm","Beacon frame, SN=2825, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"63","8.339691182","2a:b8:02:f0:1e:54","Broadcast","802.11","250","-51 dBm,-51 dBm","1","""badabing""","-51 dBm","Beacon frame, SN=2383, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"64","8.367796548","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-83 dBm","12","""LAPTOP-S""","-83 dBm","Beacon frame, SN=2302, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"65","8.368084023","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-83 dBm","12","""MOBILE-S""","-83 dBm","Beacon frame, SN=3172, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"66","8.368644334","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-83 dBm","6","""GUEST-N""","-83 dBm","Beacon frame, SN=850, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"67","8.397090228","42:40:0c:27:31:b0","Broadcast","802.11","260","-90 dBm,-90 dBm,-90 dBm","1","""MKR-new""","-90 dBm","Beacon frame, SN=1380, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"68","8.442226271","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-49 dBm,-49 dBm,-52 dBm","1","""badabing""","-52 dBm","Beacon frame, SN=2384, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"69","8.470139274","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-72 dBm,-72 dBm,-82 dBm","12","""LAPTOP-S""","-82 dBm","Beacon frame, SN=2303, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"70","8.470428834","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-72 dBm,-72 dBm,-82 dBm","12","""MOBILE-S""","-82 dBm","Beacon frame, SN=3173, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"71","8.470975316","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-72 dBm,-72 dBm,-82 dBm","6","""GUEST-N""","-82 dBm","Beacon frame, SN=851, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"72","8.501921421","42:40:0c:27:31:b0","Broadcast","802.11","260","-89 dBm,-89 dBm,-91 dBm","1","""MKR-new""","-91 dBm","Beacon frame, SN=1381, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"73","8.570884073","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-50 dBm,-50 dBm,-50 dBm","1","""badabing""","-50 dBm","Beacon frame, SN=2385, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"74","8.572714786","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-83 dBm","12","""LAPTOP-S""","-83 dBm","Beacon frame, SN=2304, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"75","8.573022433","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-83 dBm","12","""MOBILE-S""","-83 dBm","Beacon frame, SN=3174, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"76","8.573569168","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-73 dBm,-73 dBm,-82 dBm","6","""GUEST-N""","-82 dBm","Beacon frame, SN=852, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"77","8.947089260","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-87 dBm,-87 dBm,-91 dBm","12","""LAPTOP-S""","-91 dBm","Beacon frame, SN=2605, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"78","8.947379105","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-87 dBm,-87 dBm,-91 dBm","12","""MOBILE-S""","-91 dBm","Beacon frame, SN=3907, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"79","11.981063471","AristaNetwor_c5:53:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-88 dBm","12","""LAPTOP-S""","-88 dBm","Beacon frame, SN=889, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"80","11.981347833","AristaNetwor_c5:53:61","Broadcast","802.11","437","-85 dBm,-85 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3739, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"81","11.981907904","AristaNetwor_c5:53:62","Broadcast","802.11","436","-85 dBm,-85 dBm,-88 dBm","6","""GUEST-N""","-88 dBm","Beacon frame, SN=3789, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"82","12.083547232","AristaNetwor_c5:53:60","Broadcast","802.11","437","-85 dBm,-85 dBm,-89 dBm","12","""LAPTOP-S""","-89 dBm","Beacon frame, SN=890, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"83","12.083836238","AristaNetwor_c5:53:61","Broadcast","802.11","437","-84 dBm,-84 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3740, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"84","12.084385973","AristaNetwor_c5:53:62","Broadcast","802.11","436","-83 dBm,-83 dBm,-88 dBm","6","""GUEST-N""","-88 dBm","Beacon frame, SN=3790, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"85","12.090018132","AristaNetwor_c5:4d:62","Broadcast","802.11","436","-85 dBm,-85 dBm,-90 dBm","6","""GUEST-N""","-90 dBm","Beacon frame, SN=2863, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"86","12.231053315","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-47 dBm,-47 dBm,-50 dBm","1","""badabing""","-50 dBm","Beacon frame, SN=2421, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"87","12.259079832","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-72 dBm,-72 dBm,-82 dBm","12","""LAPTOP-S""","-82 dBm","Beacon frame, SN=2340, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"88","12.259372018","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-72 dBm,-72 dBm,-82 dBm","12","""MOBILE-S""","-82 dBm","Beacon frame, SN=3210, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"89","12.259922782","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-72 dBm,-72 dBm,-82 dBm","6","""GUEST-N""","-82 dBm","Beacon frame, SN=888, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"90","12.289269307","42:40:0c:27:31:b0","Broadcast","802.11","260","-88 dBm,-88 dBm,-89 dBm","1","""MKR-new""","-89 dBm","Beacon frame, SN=1419, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"91","12.336972467","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-47 dBm,-47 dBm,-49 dBm","1","""badabing""","-49 dBm","Beacon frame, SN=2422, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"92","12.361577656","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-72 dBm,-72 dBm,-80 dBm","12","""LAPTOP-S""","-80 dBm","Beacon frame, SN=2341, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"93","12.361925947","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-72 dBm,-72 dBm,-80 dBm","12","""MOBILE-S""","-80 dBm","Beacon frame, SN=3211, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"94","12.390483776","42:40:0c:27:31:b0","Broadcast","802.11","260","-88 dBm,-88 dBm,-90 dBm","1","""MKR-new""","-90 dBm","Beacon frame, SN=1420, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"95","12.435944170","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-48 dBm,-48 dBm,-53 dBm","1","""badabing""","-53 dBm","Beacon frame, SN=2423, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"96","12.838534434","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-87 dBm,-87 dBm,-92 dBm","12","""LAPTOP-S""","-92 dBm","Beacon frame, SN=2643, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"97","12.838835355","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-86 dBm,-86 dBm,-92 dBm","12","""MOBILE-S""","-92 dBm","Beacon frame, SN=3945, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"98","12.839370282","AristaNetwor_78:bd:b2","Broadcast","802.11","436","-85 dBm,-85 dBm,-92 dBm","6","""GUEST-N""","-92 dBm","Beacon frame, SN=2398, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"99","12.940974613","AristaNetwor_78:bd:b0","Broadcast","802.11","437","-86 dBm,-86 dBm,-91 dBm","12","""LAPTOP-S""","-91 dBm","Beacon frame, SN=2644, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"100","12.941235877","AristaNetwor_78:bd:b1","Broadcast","802.11","437","-86 dBm,-86 dBm,-92 dBm","12","""MOBILE-S""","-92 dBm","Beacon frame, SN=3946, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"101","12.941762070","AristaNetwor_78:bd:b2","Broadcast","802.11","436","-86 dBm,-86 dBm,-92 dBm","6","""GUEST-N""","-92 dBm","Beacon frame, SN=2399, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"102","15.974848057","AristaNetwor_c5:53:60","Broadcast","802.11","437","-81 dBm,-81 dBm,-87 dBm","12","""LAPTOP-S""","-87 dBm","Beacon frame, SN=928, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"103","15.975127946","AristaNetwor_c5:53:61","Broadcast","802.11","437","-80 dBm,-80 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3778, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"104","15.975674262","AristaNetwor_c5:53:62","Broadcast","802.11","436","-80 dBm,-80 dBm,-88 dBm","6","""GUEST-N""","-88 dBm","Beacon frame, SN=3828, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"105","16.077242989","AristaNetwor_c5:53:60","Broadcast","802.11","437","-82 dBm,-82 dBm,-88 dBm","12","""LAPTOP-S""","-88 dBm","Beacon frame, SN=929, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"106","16.077517846","AristaNetwor_c5:53:61","Broadcast","802.11","437","-82 dBm,-82 dBm,-88 dBm","12","""MOBILE-S""","-88 dBm","Beacon frame, SN=3779, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"107","16.078061380","AristaNetwor_c5:53:62","Broadcast","802.11","436","-81 dBm,-81 dBm,-88 dBm","6","""GUEST-N""","-88 dBm","Beacon frame, SN=3829, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"108","16.226835880","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-43 dBm,-43 dBm,-58 dBm","1","""badabing""","-58 dBm","Beacon frame, SN=2460, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"109","16.252931135","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-74 dBm,-74 dBm,-81 dBm","12","""LAPTOP-S""","-81 dBm","Beacon frame, SN=2379, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"110","16.253216163","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-74 dBm,-74 dBm,-80 dBm","12","""MOBILE-S""","-80 dBm","Beacon frame, SN=3249, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
"111","16.253786164","AristaNetwor_c5:4b:b2","Broadcast","802.11","436","-74 dBm,-74 dBm,-81 dBm","6","""GUEST-N""","-81 dBm","Beacon frame, SN=927, FN=0, Flags=........C, BI=100, SSID=""GUEST-N"""
"112","16.281781212","42:40:0c:27:31:b0","Broadcast","802.11","260","-85 dBm,-85 dBm,-92 dBm","1","""MKR-new""","-92 dBm","Beacon frame, SN=1458, FN=0, Flags=........C, BI=100, SSID=""MKR-new"""
"113","16.327225190","2a:b8:02:f0:1e:54","Broadcast","802.11","252","-46 dBm,-46 dBm,-55 dBm","1","""badabing""","-55 dBm","Beacon frame, SN=2461, FN=0, Flags=........C, BI=100, SSID=""badabing"""
"114","16.355273763","AristaNetwor_c5:4b:b0","Broadcast","802.11","437","-73 dBm,-73 dBm,-80 dBm","12","""LAPTOP-S""","-80 dBm","Beacon frame, SN=2380, FN=0, Flags=........C, BI=100, SSID=""LAPTOP-S"""
"115","16.355565633","AristaNetwor_c5:4b:b1","Broadcast","802.11","437","-73 dBm,-73 dBm,-79 dBm","12","""MOBILE-S""","-79 dBm","Beacon frame, SN=3250, FN=0, Flags=........C, BI=100, SSID=""MOBILE-S"""
